movie_id,title,tags
1,LG dual screen phone,1st mobil with dual rotat screen in the world with 60hz refresh rate lg phone phone screen refresh rate lg
2,Sony camera 0087,soni 32 len camera suitabl for beginn soni camera camera len soni
3,Cannon EOS 80D DSLR Camera,"character by versatil imag specs, the canon eo 80d further clarifi itself use a pair of robust focus system and an intuit design cannon camera camera len canon"
4,Amazon Echo Dot 1st Generation,"the ultim home entertain center start with alexa. whether you are into gaming, hd movies, television, music amazon ai ai alexa amazon"
5,Logitech G-Series Gaming Mouse,get a better handl on your game with thi logitech lightsync game mouse. the six programm button allow custom for a smooth play experi lojitech electron mous electron
6,Amazon Echo Dot 3rd Generation,"the ultim home entertain center start with alexa. whether you are into gaming, hd movies, television, music amazon ai ai alexa amazon"
7,Apple Airpods  gen2 Wireless Headphones,bluetooth technolog let you connect it with compat devic wirelessli high-qual aac audio offer immers listen experi built-in microphon allow you to take call while work appl earphon earphon wireless appl
8,iPhone 12 Pro 128GB Memory,introduc the iphon 12 pro. a transform triple-camera system that add ton of capabl without complexity. an unpreced leap in batteri life appl phone phone screen refresh rate appl
9,Sony Playstation 3 White Version,"the ultim home entertain center start with playstation. whether you are into gaming, hd movies, television, music soni game playstat soni game"
10,Samsung galaxy s22 ultraphone,it come with the popular samsung qualcomm snapdragon 888 processor. samsung phone phone screen refresh rate samsung
11,iPhone 11 Pro 256GB Memory,introduc the iphon 11 pro. a transform triple-camera system that add ton of capabl without complexity. an unpreced leap appl phone phone screen refresh rate appl
12,Apple air pod wireless earphone generation 3,best wireless earphon in the market. appl earphon earphon wireless appl
13,Samsung Z flip 3,samsung1st mobil with dual flip z screen in the world with 90hz refresh rate samsung phone phone screen refresh rate samsung
14,Logitech RGB mouse,"get a better handl on your game with thi logitech rgb game mouse, good for game lojitech mous"
15,Playstation 5,"the new home game setup start with soni playstation, now with new snapdragon chip and pixel glaze screen. soni game playstat soni game"
16,RGB mousepad for gaming,"make you look cool with smooth mous glide feature, logitech mous pad in rgb accessori mous accessori"
17,Samsung headphone AKG Y600 NC,"the akg y600 nc are the perfect on-ear headphon for music-lov look for best-in-class audio. user will experi market-lead sound thank to a varieti of premium, innov features. samsung headphon samsung headphon electron wireless"
18,Apple iPad Pro (2021) 11-inch 128GB Wi-Fi Space Grey,"12.9"" liquid retina xdr display ,brightest and best ,perfect for view and edit extrem high-bright and high-contrast content like hdr photo and videos. appl ipad ipad screen refresh rate appl"
19,Apple Magsafe charger,"the magsaf charger snap on the back of iphon with sleek,round gadget deliv up to 15w of charg appl charger phone screen refresh rate appl"
20,Samsung Galaxy bud 2,"samsung galaxi bud 2 can cut extern background nois by as much as 98% with up to five hour of batteri life with anc enabled, with an extra 20 hour from the charg case samsung earphon ear phone refresh nois cancel"
